101,FEMA,FEMA-0384,2911 Marigny Street,2911 MARIGNY ST,41078462,1,2/4/2012,2/4/2012,"(29.988187600000099, -90.056826549999997)"
102,FEMA,FEMA-0393,2742 Edge Street,2742 EDGE ST,41090944,1,3/8/2012,3/9/2012,"(29.992512284, -90.046309973000007)"
103,FEMA,FEMA-0423,3416 Clouet Street,3416 CLOUET ST,41090813,1,3/8/2012,3/8/2012,"(29.992896052999999, -90.036833310999995)"
104,FEMA,FEMA-0445,4744 Charlene Drive,4744 CHARLENE DR,41099285,1,5/31/2012,5/31/2012,"(30.020764247999999, -89.983999354999995)"
105,FEMA,FEMA-0447,6772 Cindy Place,6772 CINDY PL,41099474,6,6/7/2012,6/9/2012,"(30.030334412999999, -89.986541771000006)"
106,FEMA,FEMA-0455,11230 Morrison Road,11230 MORRISON RD,41112092,1,5/2/2012,5/3/2012,"(30.047654771000101, -89.970424029999904)"
107,FEMA,FEMA-0472,3901 Metropolitan Street,3901 METROPOLITAN ST,41090552,1,1/30/2012,1/30/2012,"(29.999387268000099, -90.035771484999898)"
108,FEMA,FEMA-0474,3300 Clouet Street,3300 CLOUET ST,41090804,1,2/27/2012,2/28/2012,"(29.991537669, -90.037240584000003)"
109,FEMA,FEMA-0475,4808 Flake Avenue,4808 FLAKE AVE,41101739,1,1/17/2012,1/18/2012,"(30.021639732000001, -89.989846452999998)"
110,FEMA,FEMA-0476,6840 Cindy Place,6840 CINDY PL,41099479,12,5/1/2012,5/1/2012,"(30.031349617, -89.987113904999902)"
111,FEMA,FEMA-0483,1522 North Robertson Street,1522 N ROBERTSON ST,41061826,1,5/15/2012,5/16/2012,"(29.970783397999998, -90.065729039999994)"
112,FEMA,FEMA-0491,2226 Saint Philip Street,2226 ST PHILIP ST,41016932,1,3/26/2012,3/27/2012,"(29.969724025000101, -90.076362423000006)"
113,FEMA,FEMA-0525,1665-67 North Miro Street,1665 N MIRO ST,41079365,2,5/17/2012,5/18/2012,"(29.9776817750001, -90.070093298000003)"
114,FEMA,FEMA-0538,1406 Magnolia Street,1406 MAGNOLIA ST,41032196,1,7/9/2012,7/10/2012,"(29.945414759000101, -90.085335771999993)"
115,FEMA,FEMA-0547,2229-31 Josephine Street,2229 JOSEPHINE ST,41039776,2,6/21/2012,6/23/2012,"(29.940388129999999, -90.084374127999993)"
116,FEMA,FEMA-0550,3737 Clara Street,3737 CLARA ST,41052599,1,3/30/2012,3/30/2012,"(29.938851324000002, -90.098889087000003)"
117,FEMA,FEMA-0559,1133 Saux Lane,1133 SAUX LN,41002101,1,8/4/2012,8/7/2012,"(29.942529546999999, -90.032948367000003)"
118,FEMA,FEMA-0560,1172401 Saux Lane,,,2,6/21/2012,6/22/2012,
119,FEMA,FEMA-0573,1984 Florida Avenue,1984 FLORIDA AVE,41076240,1,1/7/2012,1/7/2012,"(29.986860708999998, -90.063400372999993)"
120,FEMA,FEMA-0576,1837-39 France Street,1837 FRANCE ST,41180270,2,2/22/2012,2/22/2012,"(29.973166509000102, -90.030943582999996)"
121,FEMA,FEMA-0578,1212-14 Caffin Avenue,1212 CAFFIN AVE,41124632,2,1/27/2012,2/2/2012,"(29.962590960000099, -90.015709670000007)"
122,FEMA,FEMA-0589,8639 Colapissa Street,8639 COLAPISSA ST,41029041,2,7/6/2012,7/6/2012,"(29.965096248000101, -90.120000379000004)"
123,FEMA,FEMA-0593,9401 Forshey Street,9401 FORSHEY ST,41029386,1,3/9/2012,3/10/2012,"(29.971255983999999, -90.124341672999904)"
124,FEMA,FEMA-0610,8612-14 Cohn Street,8612 COHN ST,41130459,2,5/4/2012,5/5/2012,"(29.955831871000001, -90.129027277999995)"
125,FEMA,FEMA-0612,8617-19 Hickory Street,8617 HICKORY ST,41131060,2,6/2/2012,6/4/2012,"(29.9553258890001, -90.129685120000005)"
126,FEMA,FEMA-0613,1919 Monroe Street,1919 MONROE ST,41137119,4,7/2/2012,7/5/2012,"(29.956555616999999, -90.129132987000006)"
127,FEMA,FEMA-0615,3425 Eagle Street,3425 EAGLE ST,41029411,1,3/21/2012,3/21/2012,"(29.968250971, -90.118166426000002)"
128,FEMA,FEMA-0619,318-20 North Miro Street,318 N MIRO ST,41016422,2,2/13/2012,2/14/2012,"(29.964648874000002, -90.081017983999999)"
129,FEMA,FEMA-0620,2530-32 Bienville Avenue,2530 BIENVILLE AVE,41018267,2,5/19/2012,5/21/2012,"(29.965768799999999, -90.084265009999996)"
130,FEMA,FEMA-0634,2326 Gravier Street,2326 GRAVIER ST,41032033,1,2/10/2012,2/11/2012,"(29.9586777550001, -90.087639370000005)"
